1	-248972	-248972	-248972
2	-248972	-248972	-248972
3	-248971	-248971	-248971
4	-248971	-248971	-248971
5	-248949	-248949	-248949
6	-248950	-248950	-248950
7	-248909	-248909	-248909
8	-248909	-248909	-248909
9	-248910	-248910	-248910
10	-248901	-248901	-248901
11	-248899	-248899	-248899
12	-248870	-248870	-248870
13	-248870	-248870	-248870
14	-248870	-248870	-248870
15	-248871	-248871	-248871
16	-248868	-248868	-248868
17	-248868	-248868	-248868
18	-248869	-248869	-248869
19	-248868	-248868	-248868
20	-248868	-248868	-248868
21	-248868	-248868	-248868
22	-248868	-248868	-248868
23	-248865	-248865	-248865
24	-248860	-248860	-248860
25	-248826	-248826	-248826
26	-248826	-248826	-248826
27	-248826	-248826	-248826
28	-248824	-248824	-248824
29	-248818	-248818	-248818
30	-248807	-248807	-248807
31	-248807	-248807	-248807
32	-248803	-248803	-248803
33	-248803	-248803	-248803
34	-248805	-248805	-248805
35	-248803	-248803	-248803
36	-248803	-248803	-248803
37	-248802	-248802	-248802
38	-248802	-248802	-248802
39	-248799	-248799	-248799
40	-248799	-248799	-248799
41	-248790	-248790	-248790
42	-248790	-248790	-248790
43	-248792	-248792	-248792
44	-248791	-248791	-248791
45	-248791	-248791	-248791
46	-248791	-248791	-248791
47	-248787	-248787	-248787
48	-248787	-248787	-248787
49	-248785	-248785	-248785
50	-248757	-248757	-248757
51	-248758	-248758	-248758
52	-248757	-248757	-248757
53	-248757	-248757	-248757
54	-248757	-248757	-248757
55	-248753	-248753	-248753
56	-248749	-248749	-248749
57	-248749	-248749	-248749
58	-248749	-248749	-248749
59	-248749	-248749	-248749
60	-248749	-248749	-248749
61	-248720	-248720	-248720
62	-248720	-248720	-248720
63	-248720	-248720	-248720
64	-248720	-248720	-248720
65	-248718	-248718	-248718
66	-248718	-248718	-248718
67	-248718	-248718	-248718
68	-248718	-248718	-248718
69	-248718	-248718	-248718
70	-248718	-248718	-248718
71	-248718	-248718	-248718
72	-248713	-248713	-248713
73	-248713	-248713	-248713
74	-248712	-248712	-248712
75	-248711	-248711	-248711
76	-248711	-248711	-248711
77	-248713	-248713	-248713
78	-248713	-248713	-248713
79	-248713	-248713	-248713
80	-248713	-248713	-248713
81	-248710	-248710	-248710
82	-248710	-248710	-248710
83	-248710	-248710	-248710
84	-248710	-248710	-248710
85	-248709	-248709	-248709
86	-248700	-248700	-248700
87	-248685	-248685	-248685
88	-248681	-248681	-248681
89	-248681	-248681	-248681
90	-248680	-248680	-248680
91	-248659	-248659	-248659
92	-248660	-248660	-248660
93	-248660	-248660	-248660
94	-248660	-248660	-248660
95	-248660	-248660	-248660
96	-248660	-248660	-248660
97	-248660	-248660	-248660
98	-248660	-248660	-248660
99	-248660	-248660	-248660
100	-248659	-248659	-248659
101	-248659	-248659	-248659
102	-248659	-248659	-248659
103	-248659	-248659	-248659
104	-248659	-248659	-248659
105	-248652	-248652	-248652
106	-248652	-248652	-248652
107	-248652	-248652	-248652
108	-248626	-248626	-248626
109	-248626	-248626	-248626
110	-248626	-248626	-248626
111	-248626	-248626	-248626
112	-248628	-248628	-248628
113	-248628	-248628	-248628
114	-248599	-248599	-248599
115	-248596	-248596	-248596
116	-248595	-248595	-248595
117	-248586	-248586	-248586
118	-248586	-248586	-248586
119	-248586	-248586	-248586
120	-248586	-248586	-248586
121	-248586	-248586	-248586
122	-248587	-248587	-248587
123	-248587	-248587	-248587
124	-248587	-248587	-248587
125	-248585	-248585	-248585
126	-248585	-248585	-248585
127	-248585	-248585	-248585
128	-248585	-248585	-248585
129	-248585	-248585	-248585
130	-248585	-248585	-248585
131	-248585	-248585	-248585
132	-248585	-248585	-248585
133	-248585	-248585	-248585
134	-248585	-248585	-248585
135	-248565	-248565	-248565
136	-248559	-248559	-248559
137	-248559	-248559	-248559
138	-248559	-248559	-248559
139	-248559	-248559	-248559
140	-248552	-248552	-248552
141	-248542	-248542	-248542
142	-248542	-248542	-248542
143	-248542	-248542	-248542
144	-248542	-248542	-248542
145	-248542	-248542	-248542
146	-248542	-248542	-248542
147	-248500	-248500	-248500
148	-248494	-248494	-248494
149	-248494	-248494	-248494
150	-248494	-248494	-248494
151	-248494	-248494	-248494
152	-248489	-248489	-248489
153	-248489	-248489	-248489
154	-248482	-248482	-248482
155	-248479	-248479	-248479
156	-248476	-248476	-248476
157	-248476	-248476	-248476
158	-248470	-248470	-248470
